Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,1.028020,1.028130,1.022050,1.028200,1.028200,0
2021-08-24,1.022480,1.023376,1.015530,1.022450,1.022450,0
2021-08-25,1.018410,1.020350,1.016510,1.018520,1.018520,0
2021-08-26,1.015680,1.019570,1.015430,1.015840,1.015840,0
2021-08-27,1.020280,1.021570,1.016380,1.020290,1.020290,0
2021-08-30,1.015700,1.020038,1.015200,1.015750,1.015750,0
2021-08-31,1.019350,1.020010,1.014033,1.019430,1.019430,0
2021-09-01,1.016240,1.017250,1.008980,1.016440,1.016440,0
2021-09-02,1.009370,1.010590,1.004870,1.009610,1.009610,0
2021-09-03,1.006590,1.007270,0.998330,1.006380,1.006380,0
2021-09-06,1.001510,1.002850,1.001070,1.001260,1.001260,0
2021-09-07,1.001750,1.006600,0.998850,1.002050,1.002050,0
2021-09-08,1.005620,1.010540,1.004030,1.005690,1.005690,0
2021-09-09,1.009150,1.011680,1.007230,1.009080,1.009080,0
2021-09-10,1.010540,1.013080,1.008260,1.010460,1.010460,0
2021-09-13,1.012060,1.014150,1.010270,1.011930,1.011930,0
2021-09-14,1.011712,1.017290,1.010336,1.011470,1.011470,0
2021-09-15,1.017070,1.019130,1.015850,1.017000,1.017000,0
2021-09-16,1.016380,1.021120,1.015560,1.015890,1.015890,0
2021-09-17,1.019130,1.020240,1.014930,1.019240,1.019240,0
2021-09-20,1.019960,1.023470,1.019160,1.020080,1.020080,0
2021-09-21,1.018840,1.023370,1.016780,1.018650,1.018650,0
2021-09-22,1.022530,1.023000,1.018350,1.022780,1.022780,0
2021-09-23,1.020670,1.023060,1.015390,1.020960,1.020960,0
2021-09-24,1.015610,1.019660,1.013850,1.015800,1.015800,0
2021-09-27,1.016910,1.018220,1.013830,1.016940,1.016940,0
2021-09-28,1.014130,1.018443,1.010690,1.014170,1.014170,0
2021-09-29,1.016960,1.023140,1.014940,1.017070,1.017070,0
2021-09-30,1.022930,1.022930,1.015970,1.022910,1.022910,0
2021-10-01,1.018350,1.021860,1.014290,1.018310,1.018310,0
2021-10-04,1.013186,1.015330,1.010060,1.013520,1.013520,0
2021-10-05,1.010650,1.014960,1.010060,1.010690,1.010690,0
2021-10-06,1.010660,1.016250,1.010660,1.010660,1.010660,0
2021-10-07,1.010560,1.011480,1.005770,1.010820,1.010820,0
2021-10-08,1.006310,1.010760,1.005370,1.006320,1.006320,0
2021-10-11,1.011420,1.011420,1.002070,1.011350,1.011350,0
2021-10-12,1.003900,1.005284,0.998826,1.003890,1.003890,0
