"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 15, 2021","63,955.06","64,151.96","64,435.83","61,726.87","0.06K","-0.31%"
"Aug 14, 2021","64,151.96","64,935.00","65,405.47","62,568.66","0.08K","-1.21%"
"Aug 13, 2021","64,935.00","60,611.46","65,065.80","60,413.72","0.07K","7.13%"
"Aug 12, 2021","60,611.46","61,950.00","62,889.98","59,707.34","0.10K","-2.22%"
"Aug 11, 2021","61,990.00","62,153.51","63,737.08","61,845.00","0.12K","-0.26%"
"Aug 10, 2021","62,153.51","63,129.18","63,773.50","61,000.00","0.10K","-1.55%"
"Aug 09, 2021","63,129.18","59,625.62","63,379.98","58,385.02","0.14K","5.88%"
"Aug 08, 2021","59,625.62","60,641.71","61,625.00","58,891.21","0.10K","-1.68%"
"Aug 07, 2021","60,641.71","58,090.00","60,770.00","57,621.56","0.18K","4.39%"
"Aug 06, 2021","58,090.00","55,144.94","58,893.27","54,000.00","0.11K","5.34%"
"Aug 05, 2021","55,144.94","53,890.04","55,860.39","50,580.00","0.12K","2.33%"
"Aug 04, 2021","53,890.04","51,680.21","54,442.49","50,688.00","0.06K","4.28%"
"Aug 03, 2021","51,680.21","53,230.01","53,917.55","51,052.40","0.12K","-2.91%"
"Aug 02, 2021","53,230.01","54,597.63","55,122.74","52,722.53","0.09K","-2.50%"
"Aug 01, 2021","54,597.63","56,539.99","58,070.00","53,811.94","0.14K","-3.44%"
"Jul 31, 2021","56,539.99","57,467.07","57,769.82","56,000.00","0.06K","-1.61%"
"Jul 30, 2021","57,467.07","54,160.05","57,467.07","52,034.71","0.16K","6.11%"
"Jul 29, 2021","54,160.05","54,272.56","54,944.99","53,380.00","0.06K","-0.21%"
"Jul 28, 2021","54,272.56","53,460.01","55,751.77","52,756.27","0.15K","1.52%"
"Jul 27, 2021","53,460.01","50,640.74","53,532.03","49,352.15","0.09K","5.57%"
"Jul 26, 2021","50,640.74","48,000.00","54,842.85","47,885.02","0.32K","5.50%"
"Jul 25, 2021","48,000.00","46,663.49","48,000.00","46,077.48","0.08K","4.35%"
"Jul 24, 2021","45,999.98","45,619.56","46,250.00","45,445.00","0.09K","0.83%"
"Jul 23, 2021","45,619.56","43,815.00","45,769.24","43,509.27","0.09K","4.12%"
"Jul 22, 2021","43,815.00","43,790.00","44,166.50","43,025.02","0.05K","0.06%"
"Jul 21, 2021","43,790.00","40,644.99","44,517.99","40,185.37","0.12K","7.74%"
"Jul 20, 2021","40,644.99","42,002.03","42,222.60","40,051.66","0.21K","-3.23%"
"Jul 19, 2021","42,002.03","43,042.56","43,242.36","41,540.09","0.12K","-2.42%"
"Jul 18, 2021","43,042.56","42,649.91","43,977.53","42,144.78","0.03K","0.92%"
"Jul 17, 2021","42,649.91","42,555.00","43,178.06","42,135.35","0.06K","0.22%"
"Jul 16, 2021","42,555.00","42,809.98","43,463.53","41,917.00","0.07K","-0.60%"
"Jul 15, 2021","42,809.98","43,978.50","45,500.00","42,156.45","0.22K","-2.66%"
"Jul 14, 2021","43,978.50","43,834.88","44,267.00","42,587.98","0.16K","0.33%"
"Jul 13, 2021","43,834.88","44,408.85","44,787.51","43,439.50","0.08K","-1.29%"
"Jul 12, 2021","44,408.85","45,665.02","46,332.99","43,769.98","0.08K","-2.75%"
"Jul 11, 2021","45,665.02","45,010.03","46,224.59","44,563.74","0.02K","1.46%"
"Jul 10, 2021","45,010.03","45,274.35","45,842.25","44,240.66","0.04K","-0.58%"
"Jul 09, 2021","45,274.35","44,254.87","45,515.00","43,825.00","0.04K","2.30%"
"Jul 08, 2021","44,254.87","45,260.00","45,317.36","43,369.93","0.14K","-2.22%"
"Jul 07, 2021","45,260.00","45,764.42","46,702.47","45,241.16","0.06K","-0.39%"
"Jul 06, 2021","45,435.00","44,730.00","45,580.60","44,730.00","0.09K","1.58%"
"Jul 05, 2021","44,730.00","46,940.00","46,940.00","44,730.00","0.10K","-4.71%"
"Jul 04, 2021","46,940.00","47,269.84","47,269.84","46,940.00","0.04K","1.50%"
"Jul 03, 2021","46,244.99","44,933.71","46,244.99","44,933.71","0.05K","2.92%"
"Jul 02, 2021","44,933.71","44,755.00","44,933.71","44,755.00","0.11K","0.40%"
"Jul 01, 2021","44,755.00","46,510.00","46,510.00","44,344.99","0.27K","-3.77%"
"Jun 30, 2021","46,510.00","47,690.00","47,690.00","46,510.00","0.12K","-2.47%"
"Jun 29, 2021","47,690.00","45,465.01","47,690.00","45,465.01","0.09K","4.89%"
"Jun 28, 2021","45,465.01","45,608.81","45,608.81","44,671.54","0.08K","-0.32%"
"Jun 27, 2021","45,608.81","42,635.00","45,608.81","42,635.00","0.08K","6.98%"
"Jun 26, 2021","42,635.00","41,835.00","42,635.00","41,835.00","0.09K","1.91%"
"Jun 25, 2021","41,835.00","45,725.43","45,725.43","41,835.00","0.25K","-8.51%"
"Jun 24, 2021","45,725.43","44,510.09","45,725.43","44,510.09","0.07K","2.73%"
"Jun 23, 2021","44,510.09","43,000.00","44,510.09","43,000.00","0.22K","3.51%"
"Jun 22, 2021","43,000.00","42,244.86","43,000.00","42,244.86","0.42K","1.79%"
"Jun 21, 2021","42,244.86","47,521.51","47,521.51","42,244.86","0.26K","-11.10%"
"Jun 20, 2021","47,521.51","47,714.99","47,714.99","47,521.51","0.28K","-0.41%"
"Jun 19, 2021","47,714.99","48,008.07","48,008.07","47,714.99","0.09K","-0.61%"
"Jun 18, 2021","48,008.07","50,434.49","50,434.49","48,008.07","0.34K","-4.81%"
"Jun 17, 2021","50,434.49","50,330.00","51,809.95","50,330.00","0.12K","0.21%"
"Jun 16, 2021","50,330.00","52,440.00","52,440.00","50,330.00","0.09K","-4.02%"
"Jun 15, 2021","52,440.00","52,564.99","52,564.99","52,173.18","0.09K","-0.24%"
"Jun 14, 2021","52,564.99","50,524.99","52,564.99","50,524.99","0.14K","4.04%"
"Jun 13, 2021","50,524.99","46,128.90","50,524.99","46,128.90","0.09K","9.53%"
